Company (Maker-if known),Specific Bean Origin or Bar Name,REF,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin
A. Morin,Bolivia,797,2012,70%,France,3.5,,Bolivia
A. Morin,Peru,797,2012,63%,France,3.75,,Peru
A. Morin,Brazil,1011,2013,70%,France,3.25,,Brazil
A. Morin,Birmanie,1015,2013,70%,France,3,,Burma
A. Morin,Colombie,1015,2013,70%,France,2.75,,Colombia
A. Morin,Equateur,1011,2013,70%,France,3.75,,Ecuador
A. Morin,Madagascar,1011,2013,70%,France,3,Criollo,Madagascar
A. Morin,Panama,1011,2013,70%,France,2.75,,Panama
A. Morin,Papua New Guinea,1015,2013,70%,France,3.25,,Papua New Guinea
A. Morin,Chanchamayo Province,1019,2013,63%,France,4,,Peru
A. Morin,Chanchamayo Province,1019,2013,70%,France,3.5,,Peru
A. Morin,Piura,1019,2013,70%,France,3.25,,Peru
A. Morin,Chuao,1015,2013,70%,France,4,Trinitario,Venezuela
A. Morin,Cuba,1315,2014,70%,France,3.5,,Cuba
A. Morin,Pablino,1319,2014,70%,France,4,,Peru
A. Morin,Puerto Cabello,1319,2014,70%,France,3.75,Criollo,Venezuela
A. Morin,Sur del Lago,1315,2014,70%,France,3.5,Criollo,Venezuela
A. Morin,Carenero,1315,2014,70%,France,2.75,Criollo,Venezuela
A. Morin,Quilla,1704,2015,70%,France,3.5,,Peru
A. Morin,Akata,1680,2015,70%,France,3.5,,Togo
A. Morin,Atsane,1676,2015,70%,France,3,,Togo
A. Morin,Kpime,1676,2015,70%,France,2.75,,Togo
A. Morin,Agua Grande,1876,2016,63%,France,3.75,,Sao Tome
Acalli,"Chulucanas, El Platanal",1462,2015,70%,U.S.A.,3.75,,Peru
Acalli,"Tumbes, Norandino",1470,2015,70%,U.S.A.,3.75,Criollo,Peru
Adi aka Fijiana (Easy In Ltd),Vanua Levu,705,2011,88%,Fiji,3.5,Trinitario,Fiji
Adi aka Fijiana (Easy In Ltd),"Vanua Levu, Ami-Ami-CA",705,2011,72%,Fiji,3.5,Trinitario,Fiji
Adi aka Fijiana (Easy In Ltd),"Vanua Levu, Toto-A",705,2011,80%,Fiji,3.25,Trinitario,Fiji
Adi aka Fijiana (Easy In Ltd),Vanua Levu,705,2011,60%,Fiji,2.75,Trinitario,Fiji
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70%,Ecuador,3,Forastero (Arriba),Ecuador
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55%,Ecuador,2.75,Forastero (Arriba),Ecuador
Ah Cacao,Tabasco,316,2009,70%,Mexico,3,Criollo,Mexico
Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75%,Switzerland,2.75,Forastero,Brazil
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75%,Switzerland,2.75,Criollo,Madagascar
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75%,Switzerland,3.75,Trinitario,Indonesia
Alain Ducasse,"Piura, Perou",1173,2013,75%,France,2.5,,Peru
